song,artists
"10,000 Hours",Dan + Shay_Justin Bieber
Anh Là Ai,Phương Ly
Anh Nhớ Em,Tuấn Hưng
Anh Ở Đây Mà,Đức Phúc
Bài Này Chill Phết,Đen_MIN
Bốn Chữ Lắm,Trúc Nhân_Trương Thảo Nhi
Chúng Ta Không Thuộc Về Nhau,Sơ Tùng M-TP
Chạy Ngay Đi,Sơn Tùng M-TP
Chắc Ai Đó Sẽ Về,Sơn Tùng M-TP
Chắc Anh Đang,Tiên Tiên_Trang
Chẳng Để Em Xa Anh,Đức Phúc
Câu Trả Lời,Tiên Tiên_Trang
Có Chắc Yêu Là Đây,Sơn Tùng M-TP
Có Người,Vũ Cát Tường
Cũng Đành Thôi,Đức Phúc
Cần Gì Hơn,Tiên Tiên_JustaTee
Cầu Vồng Khuyết,Tuấn Hưng
Dĩ Vãng Cuộc Tình,Tuấn Hưng
Em Không Thể,Tiên Tiên_Touliver
Em Mới Là Người Yêu Anh,MIN
Giật Mình Trong Đêm,Tuấn Hưng
Holy,Justin Bieber_Chance The Rapper
Hành Tinh Ánh Sáng,Vũ Cát Tường
Hãy Trao Cho Anh,Sơn Tùng M-TP
I Don't Care,Ed Sheeran_Justin Bieber
I Don't Wanna Miss You,Trang_Tiên Tiên
If,Vũ Cát Tường
Intentions,Justin Bieber_Quavo
Lonely,Justin Bieber_Benny Blanco
Love Yourself,Justin Bieber
LoveNote,Binz_MIN
Lạc Trôi,Sơn Tùng M-TP
Lớn Rồi Còn Khóc Nhè,Trúc Nhân
Missing You,Phương Ly
Monster,Shawn Mendes_Justin Bieber
Mood,24kGoldn_Justin Bieber_J Balvin & iann dior
My Everything,Tiên Tiên
Mơ,Vũ Cát Tường
Mấy Khi Mà Sướng Thế Này,Trúc Nhân
Mặt Trời Của Em,Phương Ly_JustaTee 
Một Triệu Năm Ánh Sáng,Vũ Cát Tường
Người Lạ Ơi,Superbrothers_Karik_Orange
Người Ta Có Thương Mình Đâu,Trúc Nhân
Người Ơi Người Ở Đừng Về,Đức Phúc_Suboi
Như Giấc Chiêm Bao,Tuấn Hưng_Lệ Quyên
Như Ngày Hôm Qua,Sơn Tùng M-TP
Niệm Khúc Cuối,Đức Phúc
Năm Ấy,Đức Phúc
Nơi Này Có Anh,Sơn Tùng M-TP
Nắm Lấy Tay Anh,Tuấn Hưng
Nắng Ấm Xa Dần,Sơn Tùng M-TP
Nếu Một Mai Tôi Bay Lên Trời,Trúc Nhân
Planet E,Vũ Cát Tường
Say You Do,Tiên Tiên
So Close,Binz_Phương Ly
Sorry,Justin Bieber
Stuck With U,Ariana Grande_Justin Bieber
Sáng Mắt Chưa,Trúc Nhân
Sẽ Không Còn Nữa,Tuấn Hưng
Ta Là,JustaTee_Clean Bandit_Phương Ly
The Old You,Vũ Cát Tường
Thật Bất Ngờ,Trúc Nhân
Thế Là Tết,Đức Phúc_Hòa Minzy
Trái Tim Về Nhà,Đức Phúc
Trên Tình Bạn Dưới Tình Yêu,MIN
Tìm (Lost),MIN_MR
Tìm Hành Tinh Khác,Vũ Cát Tường
Tìm Lại Bầu Trời,Tuấn Hưng
Vì Tôi Còn Sống,Tiên Tiên_Touliver
Vì Yêu Cứ Đâm Đầu,MIN_Đen_JustaTee
Vẫn Nhớ,Tuấn Hưng
Vẽ,Trúc Nhân
Vết Mưa,Vũ Cát Tường
Vỡ,Đức Phúc
Yêu Xa,Vũ Cát Tường
Âm Thầm Bên Em,Sơn Tùng M-TP
Đâu Cần Một Bài Ca Tình Yêu,Tiên Tiên_Trang
Đông,Trúc Nhân
Độc Thoại,Tuấn Hưng
Đừng Xin Lỗi Nữa (Don't Say Sorry),ERIK_MIN
Đừng Yêu Nữa_Em Mệt Rồi,MIN
